Product,Defects
1,12
2,8
3,9
4,11
5,9
6,10
7,12
8,9
9,12
10,4
11,11
12,8
13,12
14,12
15,9
16,8
17,9
18,10
19,15
20,11
21,14
22,11
23,9
24,7
25,15
26,11
27,13
28,9
29,15
30,8
31,7
32,11
33,17
34,12
35,7
36,11
37,7
38,6
39,10
40,11
41,12
42,7
43,11
44,6
45,12
46,13
47,1
48,12
49,13
50,8
51,14
52,12
53,8
54,12
55,12
56,10
57,10
58,15
59,6
60,12
61,13
62,7
63,7
64,11
65,7
66,11
67,9
68,16
69,8
70,12
71,14
72,5
73,13
74,14
75,6
76,4
77,14
78,8
79,11
80,10
81,6
82,10
83,5
84,9
85,12
86,12
87,10
88,13
89,4
90,6
91,13
92,9
93,17
94,15
95,14
96,12
97,11
98,11
99,8
100,12
101,12
102,11
103,12
104,13
105,10
106,15
107,12
108,6
109,7
110,5
111,3
112,13
113,9
114,11
115,9
116,15
117,12
118,6
119,8
120,11
121,14
122,7
123,7
124,16
125,3
126,13
127,16
128,9
129,7
130,8
131,7
132,11
133,7
134,17
135,7
136,8
137,11
138,3
139,14
140,7
141,10
142,3
143,11
144,14
145,10
146,13
147,16
148,12
149,10
150,11
151,11
152,13
153,9
154,9
155,9
156,13
157,12
158,14
159,14
160,8
161,13
162,9
163,14
164,10
165,7
166,7
167,11
168,12
169,9
170,11
171,13
172,11
173,12
174,6
175,14
176,12
177,10
178,9
179,9
180,5
181,11
182,17
183,13
184,10
185,7
186,5
187,12
188,6
189,12
190,4
191,10
192,14
193,10
194,8
195,15
196,3
197,8
198,12
199,5
200,5
201,14
202,12
203,16
204,9
205,10
206,10
207,12
208,4
209,13
210,9
211,11
212,12
213,12
214,7
215,8
216,15
217,11
218,14
219,13
220,7
221,10
222,16
223,10
224,7
225,10
226,11
227,11
228,11
229,14
230,12
231,15
232,10
233,6
234,13
235,14
236,10
237,11
238,10
239,9
240,9
241,12
242,12
243,3
244,10
245,9
246,9
247,9
248,5
249,11
250,8
251,14
252,17
253,7
254,14
255,12
256,6
257,11
258,12
259,10
260,12
261,14
262,13
263,6
264,8
265,9
266,13
267,5
268,11
269,6
270,8
271,11
272,14
273,11
274,12
275,16
276,11
277,7
278,5
279,16
280,7
281,11
282,5
283,8
284,14
285,10
286,9
287,11
288,12
289,9
290,18
291,17
292,16
293,10
294,12
295,8
296,9
297,11
298,13
299,11
300,8
301,9
302,14
303,9
304,4
305,12
306,13
307,11
308,9
309,10
310,8
311,10
312,9
313,14
314,11
315,8
316,15
317,10
318,8
319,9
320,13
