Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
1307,612,1939,1127,1076,126,52
1288,680,1724,1167,1233,173,57
1255,721,1961,1170,1193,178,56
1336,692,1715,1077,1138,112,54
1238,682,1859,1136,1126,188,55
1273,752,1920,1197,1105,137,57
1233,601,2048,1098,1102,172,56
1337,685,1935,1234,1099,223,53
1274,771,1896,1149,1182,173,57
1333,761,1944,1078,1207,189,54
1261,725,1743,1089,1076,104,56
1280,587,1797,1028,1166,169,55
1294,607,2063,1221,1126,139,57
1292,739,1822,1297,1105,187,50
1201,664,1892,1000,1117,207,56
1264,587,2046,1097,1136,95,56
1268,709,1778,1220,1225,109,54
1282,758,1601,1212,1130,193,52
1221,853,2005,1136,1137,133,53
1235,743,1766,1137,1116,214,53
1244,721,1820,1099,1125,164,53
1293,555,1859,1096,1138,234,54
1325,728,1800,1020,1145,148,56
1274,791,1867,1116,1127,158,51
1305,721,1763,1154,1219,165,55
1303,729,1980,1134,1091,141,51
1257,706,1950,1091,1126,148,55
1231,685,1641,1017,1202,143,58
1268,699,1707,1121,1134,144,52
1269,718,1763,1127,1080,139,54
1311,574,1863,1080,1113,139,58
1214,666,1825,1128,1135,194,59
1137,734,1698,1099,1051,231,54
1210,671,1865,1221,1106,170,55
1298,700,1808,1058,1129,171,54
1231,663,1913,1218,1097,254,58
1245,788,1851,1090,1067,239,56
1252,648,1829,1170,1159,136,56
1284,806,1800,1081,1101,247,52
1293,819,1964,1147,1178,124,54
1251,922,1993,1144,1166,156,56
1233,810,1721,1095,1191,197,55
1302,650,1702,1131,1113,234,58
1254,819,1788,1065,1136,99,56
1282,590,1681,1208,1160,169,56
1241,705,1803,1131,1132,177,54
1242,830,2025,1175,1136,180,58
1197,625,2035,1100,1177,197,55
1276,674,1935,1065,1136,203,54
1246,672,1819,1156,1148,159,55
