Before,After
1307,1338
1288,1260
1255,1191
1336,1183
1238,1345
1273,1315
1233,1264
1337,1317
1274,1345
1333,1275
1261,1217
1280,1276
1294,1324
1292,1258
1201,1255
1264,1192
1268,1332
1282,1336
1221,1258
1235,1332
1244,1349
1293,1269
1325,1240
1274,1238
1305,1363
1303,1284
1257,1283
1231,1290
1268,1268
1269,1253
1311,1286
1214,1264
1210,1280
1298,1358
1231,1311
1245,1360
1252,1328
1284,1345
1293,1295
1251,1247
1233,1260
1302,1258
1254,1289
1282,1314
1241,1222
1242,1329
1197,1291
1276,1252
1246,1212
